# Baseline PMD (arquivo|regra|quantidade)
# Atualize conscientemente apos refatoracoes e limpeza de debt.
src/main/java/br/com/extrator/api/ClienteApiDataExport.java|UnnecessaryFullyQualifiedName|12
src/main/java/br/com/extrator/api/ClienteApiGraphQL.java|CollapsibleIfStatements|1
src/main/java/br/com/extrator/api/ClienteApiGraphQL.java|UnnecessaryFullyQualifiedName|12
src/main/java/br/com/extrator/api/ClienteApiGraphQL.java|UnusedNullCheckInEquals|1
src/main/java/br/com/extrator/api/ClienteApiGraphQL.java|UselessParentheses|2
src/main/java/br/com/extrator/auditoria/modelos/ResultadoValidacaoEntidade.java|UselessParentheses|2
src/main/java/br/com/extrator/auditoria/servicos/AuditoriaService.java|EmptyCatchBlock|1
src/main/java/br/com/extrator/auditoria/servicos/AuditoriaService.java|UnnecessaryModifier|2
src/main/java/br/com/extrator/auditoria/servicos/IntegridadeEtlValidator.java|CheckResultSet|6
src/main/java/br/com/extrator/auditoria/servicos/IntegridadeEtlValidator.java|UselessParentheses|1
src/main/java/br/com/extrator/auditoria/validacao/AuditorEstruturaApi.java|UnnecessaryFullyQualifiedName|2
src/main/java/br/com/extrator/auditoria/validacao/AuditorEstruturaApi.java|UnnecessaryImport|3
src/main/java/br/com/extrator/auditoria/validacao/AuditoriaValidator.java|CheckResultSet|1
src/main/java/br/com/extrator/auditoria/validacao/AuditoriaValidator.java|UnnecessaryModifier|14
src/main/java/br/com/extrator/auditoria/validacao/AuditoriaValidator.java|UselessParentheses|1
src/main/java/br/com/extrator/comandos/extracao/ExecutarFluxoCompletoComando.java|UnnecessaryModifier|1
src/main/java/br/com/extrator/comandos/validacao/ValidarApiVsBanco24hComando.java|CheckResultSet|1
src/main/java/br/com/extrator/comandos/validacao/ValidarManifestosComando.java|UselessParentheses|2
src/main/java/br/com/extrator/db/entity/FreteEntity.java|UnnecessaryFullyQualifiedName|3
src/main/java/br/com/extrator/db/entity/LogExtracaoEntity.java|UnnecessaryFullyQualifiedName|1
src/main/java/br/com/extrator/db/repository/AbstractRepository.java|UnnecessaryFullyQualifiedName|3
src/main/java/br/com/extrator/db/repository/AbstractRepository.java|UnnecessaryModifier|3
src/main/java/br/com/extrator/db/repository/AbstractRepository.java|UselessParentheses|1
src/main/java/br/com/extrator/db/repository/ColetaRepository.java|UselessParentheses|1
src/main/java/br/com/extrator/db/repository/FreteRepository.java|EmptyCatchBlock|4
src/main/java/br/com/extrator/db/repository/FreteRepository.java|UnnecessaryFullyQualifiedName|24
src/main/java/br/com/extrator/db/repository/FreteRepository.java|UselessParentheses|1
src/main/java/br/com/extrator/modelo/graphql/fretes/nfse/NfseNodeDTO.java|UselessParentheses|1
src/main/java/br/com/extrator/runners/common/ExtractionLogger.java|UnnecessaryImport|1
src/main/java/br/com/extrator/runners/common/ExtractionLogger.java|UselessParentheses|5
src/main/java/br/com/extrator/runners/dataexport/services/DataExportExtractionService.java|UselessParentheses|2
src/main/java/br/com/extrator/runners/graphql/extractors/FaturaGraphQLExtractor.java|CollapsibleIfStatements|1
src/main/java/br/com/extrator/runners/graphql/extractors/FaturaGraphQLExtractor.java|UselessParentheses|1
src/main/java/br/com/extrator/runners/graphql/services/GraphQLExtractionService.java|UnnecessaryFullyQualifiedName|1
src/main/java/br/com/extrator/runners/graphql/services/GraphQLExtractionService.java|UselessParentheses|1
src/main/java/br/com/extrator/util/banco/GerenciadorConexao.java|EmptyCatchBlock|2
src/main/java/br/com/extrator/util/console/BannerUtil.java|UnnecessaryModifier|2
